,0
0,-0.6670681
1,-0.45540297
2,-0.79470205
3,-0.21355549
4,-0.6637269
5,0.87003547
6,0.07269743
7,-0.7310572
8,-0.2568255
9,0.19747275
10,-0.7657607
11,0.096436635
12,0.6884398
13,0.67316234
14,-0.36649093
15,0.8854613
16,-0.36775762
17,-0.78692013
18,-0.18251137
19,0.59560674
20,0.15827414
21,0.1790109
22,0.23520827
23,-0.7187893
24,-0.97194314
25,0.18819614
26,0.09994053
27,-0.7737936
28,0.9443424
29,0.45848727
30,0.95978874
31,0.6341019
32,-0.33173975
33,-0.5572646
34,0.8269826
35,0.25736523
36,-0.13460018
37,-0.41559878
38,-0.8845678
39,0.13321382
40,0.8252035
41,-0.44678974
42,-0.38261014
43,-0.23961462
44,-0.54464215
45,-0.090196975
46,-0.06132147
47,0.73977435
48,-0.22342683
49,-0.837092
50,-0.18508247
51,-0.22522643
52,-0.34246686
53,0.49539745
54,0.071165934
55,-0.7883874
56,0.21643469
57,0.8486194
58,0.4217244
59,-0.63112885
60,0.66696274
61,0.77797616
62,-0.5502775
63,0.14019828
64,-0.42618057
65,-0.4417243
66,0.19298358
67,0.033805598
68,-0.67861664
69,0.36791638
70,0.47568348
71,0.46690592
72,-0.6812633
73,0.3412846
74,0.8571178
75,-0.119195335
76,-0.107994586
77,-0.84704936
78,-0.85200614
79,-0.5472582
80,-0.11399805
81,-0.3125298
82,-0.70746005
83,-0.70677704
84,-0.8529518
85,0.7474411
86,0.19914956
87,0.8269364
88,0.8247574
89,-0.14179617
90,-0.30757442
91,-0.1710428
92,-0.80881864
93,-0.08893569
94,0.3964431
95,-0.62115157
96,-0.67261577
97,0.3390459
98,-0.016060641
99,0.5553468
100,-0.9924631
101,-0.69438946
102,-0.9477805
103,0.17885812
104,-0.105408795
105,0.9309144
106,0.22930263
107,-0.88867927
108,0.4603932
109,0.11805233
110,0.020004941
111,0.6701877
112,-0.49730843
113,-0.7055778
114,0.08480657
115,0.4193076
116,-0.28332326
117,0.08847384
118,0.60666925
119,0.85121816
120,0.34296763
121,-0.54393536
122,0.52403367
123,-0.10305594
124,0.8128887
125,0.8130966
126,-0.21671374
127,0.8393967
128,0.61363953
129,0.030715099
130,0.45665446
131,0.40181732
132,0.9490518
133,0.10878061
134,0.16259944
135,0.7701542
136,-0.42701003
137,-0.220711
138,-0.7243538
139,0.1186901
140,-0.9249524
141,-0.3468697
142,0.19431938
143,0.7194046
144,-0.18385287
145,-0.31408113
146,-0.7858182
147,0.3678137
148,-0.77631694
149,0.4591084
150,0.9342366
151,0.2588117
152,0.67238605
153,0.33559945
154,-0.15927675
155,-0.47130516
156,0.97749436
157,-0.55952054
158,0.8962783
159,-0.27451888
160,-0.34329346
161,0.44654468
162,0.57091373
163,0.5771912
164,-0.8313615
165,-0.44383532
166,0.0298178
167,-0.45555648
168,0.9007471
169,0.07364434
170,0.1423274
171,0.33842537
172,-0.7080094
173,-0.5957349
174,0.39866716
175,-0.028696166
176,-0.2957246
177,0.6847055
178,0.47016677
179,0.49164495
180,0.7205623
181,-0.1404139
182,0.5633029
183,0.7574486
184,0.16126193
185,-0.41846985
186,-0.49918398
187,0.6755598
188,0.67577165
189,-0.7795202
190,-0.39076477
191,-0.7978923
192,-0.14760287
193,0.6233602
194,0.60778314
195,0.9158401
196,-0.49456438
