,0
0,11.996724
1,-52.570103
2,46.114723
3,-39.954582
4,47.424488
5,-24.019293
6,61.23473
7,8.581419
8,25.408318
9,-84.46102
10,-57.55411
11,-50.545826
12,-40.194344
13,-41.34434
14,-67.342094
15,20.182688
16,26.32669
17,42.39884
18,-33.1684
19,-38.49088
20,-88.787605
21,12.393105
22,38.15317
23,-63.71227
24,-41.586597
25,35.04641
26,30.608358
27,23.689396
28,-52.43642
29,-57.73089
30,-48.392826
31,-47.91782
32,31.770561
33,-28.85378
34,-27.242357
35,29.998476
36,-27.438665
37,14.381244
38,23.155731
39,25.598154
40,-36.92052
41,-44.203526
42,-76.533554
43,1.326283
44,-64.43261
45,-49.396164
46,-57.199642
47,-19.045082
48,-44.431095
49,39.253986
50,-64.74401
51,30.096853
52,-50.636097
53,7.207291
54,-35.69518
55,-77.60328
56,29.301727
57,9.2973
58,-109.2903
59,-59.319126
60,-25.436314
61,-45.061314
62,45.576206
63,13.433199
64,59.658558
65,-57.55411
66,21.310326
67,29.713121
68,-29.71828
69,33.23345
70,-39.533245
71,-59.574764
72,28.327656
73,-37.92107
74,-30.211313
75,30.096205
76,-49.252354
77,-30.344408
78,-84.39059
79,30.096403
80,-29.67615
81,20.541428
82,1.5235543
83,7.019423
84,31.679317
85,31.13181
86,-2.652803
87,-26.864902
88,-61.37837
89,22.956146
90,-46.98116
91,-76.074684
92,-44.739727
93,31.896885
94,32.020206
95,39.68704
96,38.850136
97,9.111273
98,6.866492
99,-49.833916
100,7.154164
101,24.813927
102,-49.182777
103,-50.043427
104,59.559345
105,42.38751
106,-75.55633
107,31.989407
108,31.226215
109,30.734632
110,-63.517384
111,28.227982
112,-10.287863
113,19.156565
114,30.632763
115,31.045872
116,-62.35637
117,46.69424
118,-8.327436
119,-55.7318
120,-46.334236
121,-59.77824
122,66.16976
123,-3.2406955
124,-41.66781
125,53.032127
126,-89.00686
127,32.250618
128,-99.71636
129,25.704933
130,27.68314
131,-60.475784
132,30.271132
133,-57.937042
134,-69.24407
135,-59.417706
136,28.396456
137,-57.21449
138,-52.07076
139,-35.01417
140,30.208591
141,-30.237759
142,27.81025
143,22.456005
144,-53.407337
145,-93.67231
146,26.090832
147,20.959515
148,28.071888
149,13.312259
150,35.256847
151,12.356932
152,5.644131
153,21.109158
154,24.149183
155,37.601017
156,-40.190914
157,-52.259415
158,28.021648
159,37.54985
160,26.586468
161,-56.24879
162,-21.683006
163,-33.863712
164,-45.476604
165,-50.204193
166,-93.32563
167,26.423786
168,23.79152
169,27.568817
170,32.749706
171,-1.1283259
172,30.363543
173,-18.243788
174,15.283342
175,-45.67613
176,-39.85432
177,29.110834
178,-81.11211
179,27.358162
180,-32.59074
181,-90.69928
182,33.30795
183,22.53931
184,-66.16181
185,-56.681072
186,-18.9822
187,-30.71119
188,30.189945
189,22.808393
190,30.992382
191,20.990208
192,6.793656
193,-50.97854
194,21.798569
195,-60.347824
196,-13.018711
197,-44.054276
198,31.135893
199,57.018055
200,-59.427895
201,-19.79516
202,-26.782883
203,23.507833
204,26.19267
205,-66.45681
206,-40.33869
207,-84.79449
208,13.654287
209,30.8159
210,31.638815
211,30.359837
212,-29.279638
213,28.294758
214,42.66418
215,24.947512
216,37.458027
217,-58.01404
218,32.277325
219,21.748861
220,-23.593409
221,22.054762
222,6.964811
223,-56.63921
224,38.843304
225,-39.734108
226,-46.027996
227,-61.381893
228,-104.08088
229,36.38887
230,15.490818
231,-38.563717
232,-22.742062
233,29.237698
234,-30.668865
235,-22.228855
236,-61.645138
237,-6.173475
238,12.462231
239,-46.524643
240,-37.731358
241,24.37203
242,9.664513
243,2.8626866
244,22.991432
245,-35.575325
246,-42.350845
247,28.529903
248,-27.302174
249,-81.74711
250,42.147625
251,4.417088
252,36.95752
253,-41.865444
254,-85.28787
255,-38.131557
256,27.979988
257,23.112078
258,29.835224
259,-43.201817
260,12.182937
261,-38.985443
262,27.224205
263,-24.019293
264,-45.364475
265,-33.323986
266,-104.57682
267,6.007933
268,30.734632
269,12.72644
270,40.761982
271,51.450733
272,2.8474145
273,14.451031
274,56.488052
275,-59.46568
276,12.5842905
277,-113.64374
278,-87.64358
279,-124.5978
280,-17.51608
281,9.616175
282,20.37532
283,-41.987434
284,31.306383
285,11.426968
286,-45.76676
287,17.619373
288,-46.247337
289,26.780924
290,47.703106
291,19.557396
292,-46.00949
293,-31.07977
294,19.694645
295,32.382275
