,0
0,-93.96343
1,-120.55773
2,-65.799644
3,-113.68322
4,-63.570786
5,-126.51438
6,-59.190025
7,-101.102264
8,-92.43552
9,-111.5908
10,-136.86461
11,-148.35281
12,-121.44292
13,-134.83609
14,-130.90631
15,-96.586754
16,-83.189384
17,-80.750404
18,-127.31485
19,-102.77337
20,-149.25883
21,-93.95315
22,-73.415565
23,-136.81924
24,-140.44107
25,-71.63239
26,-90.17079
27,-94.349846
28,-123.645424
29,-143.41124
30,-101.01261
31,-110.21404
32,-72.788246
33,-122.970375
34,-127.18951
35,-81.04734
36,-115.65174
37,-93.316376
38,-89.83411
39,-88.27985
40,-108.22051
41,-119.75559
42,-170.85344
43,-98.91313
44,-148.73444
45,-132.77486
46,-119.548134
47,-110.54762
48,-126.20376
49,-68.787895
50,-154.23141
51,-82.23813
52,-129.8581
53,-103.368515
54,-138.51495
55,-113.60065
56,-74.52526
57,-100.75107
58,-140.57826
59,-124.39669
60,-115.8448
61,-126.53399
62,-61.927956
63,-93.51804
64,-58.820198
65,-136.86461
66,-90.301094
67,-80.55774
68,-96.4622
69,-80.65901
70,-125.74619
71,-126.656944
72,-78.25483
73,-121.04517
74,-113.55746
75,-84.10062
76,-122.05939
77,-103.41151
78,-125.78298
79,-81.257835
80,-122.861786
81,-93.57649
82,-108.254906
83,-103.25498
84,-81.29902
85,-90.6179
86,-94.52652
87,-111.55242
88,-114.01455
89,-77.299965
90,-150.05312
91,-113.57496
92,-127.244995
93,-72.289856
94,-79.30201
95,-83.14855
96,-65.96621
97,-101.52027
98,-103.178535
99,-129.87077
100,-98.75569
101,-83.99688
102,-134.86716
103,-114.53236
104,-62.910618
105,-81.2493
106,-131.2689
107,-85.826866
108,-90.36868
109,-88.428
110,-118.76373
111,-87.78498
112,-90.010956
113,-87.37439
114,-90.52444
115,-85.18206
116,-121.79685
117,-69.80153
118,-96.08612
119,-126.34744
120,-107.17695
121,-128.42624
122,-60.26985
123,-97.86017
124,-108.327675
125,-68.72561
126,-121.912315
127,-90.114265
128,-169.61298
129,-92.74952
130,-89.60383
131,-128.57973
132,-80.15621
133,-146.70358
134,-108.01046
135,-110.705505
136,-69.89848
137,-119.07494
138,-122.67472
139,-117.40285
140,-83.573586
141,-116.7562
142,-87.20275
143,-87.26421
144,-100.005226
145,-118.6765
146,-80.653145
147,-95.9978
148,-87.70211
149,-96.33027
150,-70.66634
151,-96.38182
152,-104.14437
153,-81.15415
154,-93.05631
155,-70.32581
156,-116.01133
157,-129.34947
158,-82.28048
159,-80.67289
160,-73.03413
161,-118.97581
162,-127.66963
163,-110.11207
164,-126.60213
165,-120.70684
166,-129.98515
167,-84.5364
168,-90.911995
169,-89.36492
170,-74.4004
171,-103.88362
172,-81.61626
173,-110.031166
174,-96.2094
175,-113.57101
176,-114.60386
177,-88.89973
178,-126.222664
179,-80.18072
180,-128.10155
181,-131.6547
182,-82.13375
183,-88.65636
184,-128.01442
185,-140.80357
186,-121.33987
187,-113.94285
188,-83.60257
189,-89.72024
190,-80.3932
191,-79.73433
192,-104.26505
193,-122.10116
194,-97.83731
195,-127.87199
196,-105.51644
197,-125.61875
198,-86.10743
199,-61.776875
200,-126.962234
201,-91.6354
202,-108.50827
203,-97.84336
204,-78.88474
205,-132.96251
206,-134.34273
207,-129.03925
208,-100.87585
209,-88.13
210,-80.76678
211,-88.09965
212,-134.98048
213,-73.45265
214,-81.032974
215,-95.45971
216,-87.16377
217,-147.39664
218,-79.67867
219,-85.48339
220,-123.12057
221,-88.02024
222,-99.61922
223,-118.459
224,-74.57744
225,-124.86063
226,-116.10504
227,-135.76231
228,-142.2055
229,-81.35962
230,-97.24558
231,-109.73385
232,-115.72989
233,-88.990845
234,-123.96429
235,-115.87137
236,-123.190605
237,-116.54771
238,-93.959435
239,-130.87209
240,-130.16222
241,-98.74317
242,-101.02397
243,-107.08349
244,-89.65994
245,-110.77463
246,-117.6885
247,-90.10941
248,-111.52288
249,-112.76855
250,-71.563194
251,-110.14971
252,-81.02761
253,-109.13824
254,-113.75135
255,-131.3786
256,-91.3523
257,-89.57838
258,-91.44326
259,-113.3135
260,-93.96204
261,-122.80034
262,-89.1155
263,-126.51438
264,-123.38336
265,-118.189384
266,-126.22101
267,-104.27376
268,-88.428
269,-92.65789
270,-66.66102
271,-67.33541
272,-107.077805
273,-94.956795
274,-65.67412
275,-133.17566
276,-96.3698
277,-145.68509
278,-147.67308
279,-125.108376
