,0
0,-38.908077
1,4.9907327
2,-127.78771
3,-2.7454565
4,-137.66718
5,-32.43618
6,-161.01439
7,-40.76658
8,-84.64851
9,47.847668
10,-11.527153
11,-9.498137
12,-0.30195203
13,-4.547931
14,32.28418
15,-73.28189
16,-85.98967
17,-114.58914
18,-18.473408
19,41.88102
20,49.736526
21,-40.945343
22,-109.47973
23,29.460083
24,24.975792
25,-108.66815
26,-100.69288
27,-77.4786
28,-14.954327
29,17.007465
30,51.843082
31,25.3825
32,-97.57151
33,-21.912914
34,-5.516845
35,-91.93676
36,-14.762726
37,-40.03871
38,-78.17178
39,-63.8851
40,16.622253
41,43.42248
42,-8.279453
43,-36.770615
44,6.627857
45,-18.106812
46,58.655487
47,-13.318047
48,18.50035
49,-107.002556
50,-0.018952042
51,-91.266075
52,-12.974938
53,-29.505112
54,-5.854831
55,21.174255
56,-73.65804
57,-42.35652
58,79.03983
59,39.8606
60,-0.13034597
61,10.235433
62,-131.61789
63,-43.83027
64,-180.44016
65,-11.527153
66,-69.45742
67,-98.15863
68,17.878815
69,-106.910255
70,28.359798
71,9.820845
72,-94.723625
73,11.859623
74,3.4651644
75,-86.78518
76,1.0655597
77,1.8606647
78,45.717606
79,-92.455284
80,-30.729477
81,-65.12113
82,-26.24955
83,-28.76844
84,-85.172806
85,-100.11198
86,-34.569542
87,33.94525
88,-5.49525
89,-76.67689
90,4.411214
91,28.89724
92,-0.6226498
93,-86.108284
94,-101.7672
95,-114.67233
96,-106.708534
97,-30.946297
98,-28.195385
99,26.031479
100,-43.01577
101,-83.24935
102,-11.15159
103,49.44521
104,-156.45636
105,-115.194855
106,27.738548
107,-96.85532
108,-100.11301
109,-102.6259
110,21.655273
111,-90.58131
112,11.948563
113,-62.350563
114,-85.25105
115,-103.60473
116,30.522034
117,-130.81686
118,-29.78315
119,24.7219
120,3.9146883
121,3.446439
122,-168.71115
123,-35.06649
124,2.5134432
125,-140.57791
126,74.96222
127,-101.313805
128,31.156933
129,-76.112564
130,-83.16268
131,46.41632
132,-90.35448
133,29.66762
134,22.372704
135,24.670532
136,-102.661736
137,47.493546
138,6.0462613
139,-13.734308
140,-96.14011
141,-17.147835
142,-90.70394
143,-72.00929
144,6.5375695
145,12.978714
146,-46.654327
147,-75.557
148,-93.46254
149,-48.337337
150,-107.045876
151,-43.55669
152,-28.132092
153,-47.30944
154,-76.66694
155,-99.866295
156,4.739857
157,43.23868
158,-90.96175
159,-108.58448
160,-81.24304
161,62.02285
162,-35.167183
163,-4.87705
164,15.490603
165,11.635279
166,36.460796
167,-88.08917
168,-80.881165
169,-89.51343
170,-97.73887
171,-21.575317
172,-81.59397
173,-35.713005
174,-57.9647
175,-0.6330296
176,38.65197
177,-95.07988
178,38.532944
179,-86.801414
180,-34.109264
181,119.72527
182,-96.11331
183,-75.90051
184,2.6544955
185,6.979836
186,-18.115608
187,27.983551
188,-96.14097
189,-78.40583
190,-94.37033
191,-65.59077
